11月11日11時36分	青 決勝
シーツ補正X lidar(3816,1685),16	G(-3702,6815),N(-3718,6572)	RS(0,0)
シーツ補正Y lidar(3816,1685),255	G(-3702,6827),N(-3718,6572)	RS(0,0)
シーツ補正X lidar(3816,1685),16	G(-3700,6827),N(-3716,6593)	RS(0,0)
シーツ補正Y lidar(3816,1685),255	G(-3700,6848),N(-3716,6593)	RS(0,0)
シーツ補正X lidar(3811,1650),11	G(-3704,6848),N(-3715,6603)	RS(0,0)
シーツ補正Y lidar(3811,1650),220	G(-3704,6823),N(-3715,6603)	RS(0,0)
シーツ補正X lidar(3811,1650),11	G(-3703,6823),N(-3714,6613)	RS(0,0)
シーツ補正Y lidar(3811,1650),220	G(-3703,6833),N(-3714,6613)	RS(0,0)
シーツ補正X lidar(3807,1615),7	G(-3706,6833),N(-3713,6624)	RS(0,0)
シーツ補正Y lidar(3807,1615),185	G(-3706,6809),N(-3713,6624)	RS(0,0)
シーツ補正X lidar(3807,1615),7	G(-3703,6809),N(-3710,6645)	RS(0,0)
シーツ補正Y lidar(3807,1615),185	G(-3703,6830),N(-3710,6645)	RS(0,0)
シーツリミット左 lidar(3804,1578) RS_Y:0,X:0	now(-3707,6654,0.099090)
シーツ補正Y lidar(3804,1578),148	G(-3692,6802),N(-3707,6654)	RS(0,0)
シーツリミット左 lidar(3804,1578) RS_Y:0,X:0	now(-3702,6663,0.305726)
シーツ補正Y lidar(3804,1578),148	G(-3687,6811),N(-3702,6663)	RS(0,0)
シーツ補正X lidar(3804,1578),4	G(-3695,6811),N(-3699,6672)	RS(0,0)
シーツ補正Y lidar(3804,1578),148	G(-3695,6820),N(-3699,6672)	RS(0,0)
シーツ補正X lidar(3802,1531),2	G(-3692,6820),N(-3694,6693)	RS(0,0)
シーツ補正Y lidar(3802,1531),101	G(-3692,6794),N(-3694,6693)	RS(0,0)
シーツ補正X lidar(3802,1531),-48	G(-3741,6794),N(-3693,6704)	RS(0,0)
シーツ補正Y lidar(3802,1531),101	G(-3741,6805),N(-3693,6704)	RS(0,0)
シーツ補正X lidar(3801,1498),-49	G(-3742,6805),N(-3693,6716)	RS(0,0)
シーツ補正Y lidar(3801,1498),68	G(-3742,6784),N(-3693,6716)	RS(0,0)
シーツ補正X lidar(3801,1498),-49	G(-3741,6784),N(-3692,6727)	RS(0,0)
シーツ補正Y lidar(3801,1498),68	G(-3741,6795),N(-3692,6727)	RS(0,0)
シーツ補正X lidar(3797,1457),-53	G(-3745,6795),N(-3692,6745)	RS(0,0)
シーツ補正Y lidar(3797,1457),27	G(-3745,6772),N(-3692,6745)	RS(0,0)
シーツ補正X lidar(3797,1457),-53	G(-3745,6772),N(-3692,6753)	RS(0,0)
シーツ補正Y lidar(3797,1457),27	G(-3745,6780),N(-3692,6753)	RS(0,0)
シーツ補正X lidar(3784,1437),-66	G(-3758,6780),N(-3692,6760)	RS(0,0)
シーツ補正Y lidar(3784,1437),7	G(-3758,6767),N(-3692,6760)	RS(0,0)
シーツ補正X lidar(3784,1437),-66	G(-3759,6767),N(-3693,6771)	RS(0,0)
シーツ補正Y lidar(3784,1437),7	G(-3759,6778),N(-3693,6771)	RS(0,0)
シーツ補正X lidar(3784,1437),-66	G(-3760,6778),N(-3694,6775)	RS(0,0)
シーツ補正Y lidar(3784,1437),7	G(-3760,6782),N(-3694,6775)	RS(0,0)
シーツ補正X lidar(3789,1419),-61	G(-3756,6782),N(-3695,6778)	RS(0,0)
シーツ補正Y lidar(3789,1419),-11	G(-3756,6767),N(-3695,6778)	RS(0,0)
シーツ補正X lidar(3789,1419),-61	G(-3757,6767),N(-3696,6779)	RS(0,0)
シーツ補正Y lidar(3789,1419),-11	G(-3757,6768),N(-3696,6779)	RS(0,0)
シーツ補正X lidar(3801,1409),-49	G(-3748,6768),N(-3699,6779)	RS(0,0)
シーツ補正Y lidar(3801,1409),-21	G(-3748,6758),N(-3699,6779)	RS(0,0)
シーツ補正X lidar(3801,1409),-49	G(-3749,6758),N(-3700,6777)	RS(0,0)
シーツ補正Y lidar(3801,1409),-21	G(-3749,6756),N(-3700,6777)	RS(0,0)
シーツ補正X lidar(3800,1409),-50	G(-3753,6756),N(-3703,6775)	RS(0,0)
シーツ補正Y lidar(3800,1409),-21	G(-3753,6754),N(-3703,6775)	RS(0,0)
シーツ補正X lidar(3800,1409),-50	G(-3756,6754),N(-3706,6772)	RS(0,0)
シーツ補正Y lidar(3800,1409),-21	G(-3756,6751),N(-3706,6772)	RS(0,0)
シーツ補正X lidar(3813,1414),-37	G(-3751,6751),N(-3714,6763)	RS(0,0)
シーツ補正Y lidar(3813,1414),-16	G(-3751,6747),N(-3714,6763)	RS(0,0)
