11月11日20時24分	青 決勝
11月11日20時24分	青 決勝
CS通信切れ
バスタオル2補正X フェンス lidar(3334,2523),-141	G(-3422,5340),N(-3281,5702,-0.090258)	RS(326,3226)	wait:0	13
バスタオル2補正X フェンス lidar(3334,2523),-141	G(-3444,5340),N(-3303,5702,-0.110833)	RS(389,3203)	wait:0	13
バスタオル2補正X フェンス lidar(3403,2536),-72	G(-3395,5340),N(-3323,5702,-0.101004)	RS(451,3211)	wait:0	13
バスタオル2補正X フェンス lidar(3403,2536),-72	G(-3413,5340),N(-3341,5701,-0.092759)	RS(451,3211)	wait:0	13
バスタオル2補正X フェンス lidar(3458,2544),-17	G(-3389,5340),N(-3372,5700,-0.081377)	RS(504,3201)	wait:0	13
バスタオル2補正X フェンス lidar(3458,2544),-17	G(-3401,5340),N(-3384,5698,-0.073245)	RS(504,3201)	wait:0	13
バスタオル2補正X フェンス lidar(3500,2549),25	G(-3368,5340),N(-3393,5696,-0.082711)	RS(547,3178)	wait:0	13
バスタオル2補正X フェンス lidar(3500,2549),25	G(-3377,5340),N(-3402,5688,0.022604)	RS(547,3178)	wait:0	13
バスタオル2補正X フェンス lidar(3500,2549),25	G(-3377,5340),N(-3402,5684,-0.036712)	RS(598,3222)	wait:0	13
バスタオル2補正X フェンス lidar(3516,2551),41	G(-3360,5340),N(-3401,5679,-0.063502)	RS(628,3216)	wait:0	13
バスタオル2補正X フェンス lidar(3516,2551),41	G(-3356,5340),N(-3397,5673,-0.032416)	RS(628,3216)	wait:0	13
バスタオル2補正X フェンス lidar(3505,2560),30	G(-3356,5340),N(-3386,5658,0.065048)	RS(649,3225)	wait:0	13
バスタオル2補正X フェンス lidar(3505,2560),30	G(-3350,5340),N(-3380,5649,0.045184)	RS(649,3225)	wait:0	13
バスタオル2補正X フェンス lidar(3478,2560),3	G(-3371,5340),N(-3374,5638,0.036808)	RS(661,3235)	wait:0	13
バスタオル2補正X フェンス lidar(3478,2560),3	G(-3364,5340),N(-3367,5626,0.055916)	RS(665,3250)	wait:0	13
バスタオル2補正X フェンス lidar(3470,2583),-5	G(-3358,5340),N(-3353,5598,0.033377)	RS(665,3250)	wait:0	14
バスタオル2補正X フェンス lidar(3470,2583),-5	G(-3351,5340),N(-3346,5583,0.002075)	RS(656,3247)	wait:0	14
バスタオル2補正X フェンス lidar(3470,2583),-5	G(-3345,5340),N(-3340,5565,-0.024580)	RS(656,3247)	wait:0	14
バスタオル2補正X フェンス lidar(3450,2617),-25	G(-3360,5340),N(-3335,5547,-0.046004)	RS(643,3249)	wait:0	14
バスタオル2補正X フェンス lidar(3450,2617),-25	G(-3354,5340),N(-3329,5508,0.022442)	RS(631,3273)	wait:0	14
バスタオル2補正X フェンス lidar(3432,2667),-43	G(-3370,5340),N(-3327,5489,0.047433)	RS(631,3273)	wait:0	14
バスタオル2補正X フェンス lidar(3432,2667),-43	G(-3369,5340),N(-3326,5468,0.079337)	RS(631,3273)	wait:0	14
バスタオル2補正X フェンス lidar(3425,2723),-50	G(-3374,5340),N(-3324,5449,0.099511)	RS(631,3273)	wait:0	14
バスタオル2補正X フェンス lidar(3425,2723),-50	G(-3373,5340),N(-3323,5411,0.151354)	RS(631,3273)	wait:0	14
バスタオル2補正X フェンス lidar(3429,2780),-46	G(-3369,5340),N(-3323,5394,0.189564)	RS(631,3273)	wait:0	14
バスタオル2補正X フェンス lidar(3429,2780),-46	G(-3369,5340),N(-3323,5377,0.220791)	RS(631,3273)	wait:0	14
バスタオル2補正X フェンス lidar(3429,2780),-46	G(-3372,5340),N(-3326,5347,0.221196)	RS(583,3382)	wait:0	14
バスタオル2補正X フェンス lidar(3426,2835),-49	G(-3379,5340),N(-3330,5336,0.213326)	RS(583,3442)	wait:0	14
バスタオル2補正X フェンス lidar(3426,2835),-49	G(-3383,5340),N(-3334,5326,0.213618)	RS(583,3442)	wait:0	14
バスタオル2補正X フェンス lidar(3442,2881),-33	G(-3372,5340),N(-3339,5318,0.172900)	RS(583,3442)	wait:0	14
