10月21日20時37分	赤 予選
10月21日20時37分	赤 予選
シーツ補正X lidar(3040,1554),-40	G(1840,6671),N(1880,6597)	RS(980,2228)
シーツ補正Y RS_Y:2228,83 X:980	G(1840,6675),N(1880,6597)
シーツ補正X lidar(3040,1554),-40	G(1839,6675),N(1879,6608)	RS(981,2211)
シーツ補正Y RS_Y:2211,68 X:981	G(1839,6676),N(1879,6608)
シーツ補正X lidar(2994,1514),-86	G(1793,6676),N(1879,6618)	RS(981,2211)
シーツ補正X lidar(2994,1514),-86	G(1793,6676),N(1879,6629)	RS(984,2195)
シーツ補正X lidar(2994,1514),-86	G(1792,6676),N(1878,6634)	RS(984,2195)
シーツ補正X RS_X:982,-27 Y:2179	G(1851,6676),N(1878,6643)	lidar(2202,1480)
シーツ補正Y RS_Y:2179,37 X:982	G(1851,6672),N(1878,6643)
シーツ補正X RS_X:984,-25 Y:2164	G(1852,6672),N(1878,6653)	lidar(2202,1480)
シーツ補正Y RS_Y:2164,23 X:984	G(1852,6671),N(1878,6653)
シーツ補正X RS_X:984,-25 Y:2164	G(1852,6671),N(1877,6662)	lidar(2011,1447)
シーツ補正Y RS_Y:2164,23 X:984	G(1852,6671),N(1877,6662)
シーツ補正X RS_X:984,-25 Y:2148	G(1852,6671),N(1876,6669)	lidar(2011,1447)
シーツ補正Y RS_Y:2148,7 X:984	G(1852,6670),N(1876,6669)
シーツ補正X RS_X:984,-25 Y:2130	G(1850,6670),N(1875,6676)	lidar(2017,1419)
シーツ補正Y RS_Y:2130,-8 X:984	G(1850,6667),N(1875,6676)
シーツ補正X RS_X:984,-25 Y:2130	G(1850,6667),N(1873,6681)	lidar(2017,1419)
シーツ補正Y RS_Y:2130,-8 X:984	G(1850,6667),N(1873,6681)
シーツ補正X RS_X:983,-26 Y:2108	G(1846,6667),N(1872,6684)	lidar(2017,1419)
シーツ補正Y RS_Y:2108,-30 X:983	G(1846,6654),N(1872,6684)
